"利用日","利用者","利用区分","利用内容","新規利用額","今回請求額","支払回数","現地通貨額","通貨","為替相場","備考""2016/3/1","V5006","１回払い","カーシェアリング・ジャパン　株","1,520","1,520","","","","",""
"2016/3/8","V5006","１回払い","東京電力　１６／０３利用分","21,280","21,280","","","","",""
"2016/3/14","V5006","１回払い","森ビル関連施設","980","980","","","","",""
"2016/3/14","V5006","１回払い","森ビル関連施設","1,000","1,000","","","","",""
"2016/3/15","V5006","１回払い","福島屋　六本木店","1,059","1,059","","","","",""
"2016/3/16","V5006","１回払い","過門香　赤坂溜池山王店","1,350","1,350","","","","",""
"2016/3/17","V5006","１回払い","森ビル関連施設","1,000","1,000","","","","",""
"2016/3/18","V5006","１回払い","福島屋　六本木店","1,218","1,218","","","","",""
"2016/3/18","V5006","１回払い","三徳　河田店","2,160","2,160","","","","",""
"2016/3/18","V5006","１回払い","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","1,110","1,110","","","","",""
"2016/3/19","V5006","１回払い","プル－スラウンジ","6,480","6,480","","","","",""
"2016/3/19","V5006","１回払い","三越　銀座店","5,378","5,378","","","","",""
"2016/3/21","V5006","１回払い","ライフ若松河田駅前店","3,117","3,117","","","","",""
"2016/3/22","V5006","１回払い","森ビル関連施設","1,280","1,280","","","","",""
"2016/3/23","V5006","１回払い","福島屋　六本木店","1,692","1,692","","","","",""
"2016/3/24","V5006","１回払い","森ビル関連施設","980","980","","","","",""
"2016/3/24","V5006","１回払い","森ビル関連施設","1,000","1,000","","","","",""
"2016/3/24","V5006","１回払い","ライフ若松河田駅前店","317","317","","","","",""
"2016/3/25","V5006","１回払い","福島屋　六本木店","313","313","","","","",""
"2016/3/25","V5006","１回払い","福島屋　六本木店","410","410","","","","",""
"2016/3/25","V5006","１回払い","三徳　河田店","751","751","","","","",""
"2016/3/25","V5006","１回払い","福島屋　六本木店","1,296","1,296","","","","",""
"2016/3/26","V5006","１回払い","ムジルシリヨウヒン　カ","2,810","2,810","","","","",""
"2016/3/28","V5006","１回払い","森ビル関連施設","1,280","1,280","","","","",""
"2016/3/28","V5006","１回払い","福島屋　六本木店","950","950","","","","",""
